,Compound_CID,Name,SMILES
0,23681059,Naproxen Sodium,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
1,156391,Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
2,181715,"Naproxen glucuronide, (S)-",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
3,91936934,Cetyltrimethylammonium naproxenate,CCCCCCCCCCCCCCCC[N+](C)(C)C.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-]
4,156390,Naproxen Lysine,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C(CCN)C[C@@H](C(=O)O)N
5,5492450,Naproxen isocyanate,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)N=C=O
6,77098502,Diphenhydramine hydrochloride; naproxen sodium,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.[Na+].Cl
7,9899603,Naproxen methyl ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC
8,711615,Naproxen ethyl ester,CCOC(=O)[C@@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC
9,169118,"Naproxen, (-)-",C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
10,56841568,Naproxen sodium; pseudoephedrine hydrochloride,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H]([C@H](C1=CC=CC=C1)O)NC.Cl
11,59015013,rac Naproxen-d3,[2H]C([2H])([2H])C(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
12,92131904,(R)-Naproxen acyl-B-D-glucuronide,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
13,529084,(RS)-Naproxen methyl ester,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC
14,5491692,Naproxen chloride,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)Cl
15,9884642,Naproxcinod,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCCCO[N+](=O)[O-]
16,11311807,Naproxen Isopropyl Ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC(C)C
17,11254291,Rac-naproxen 2-propyl ester,CC(C)OC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
18,25170420,Naproxen Etemesil,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCS(=O)(=O)C
19,76968825,Naproxen piperazine,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1CNCCN1
20,46782447,"rac-Naproxen-13C,d3",[2H][13C]([2H])([2H])C(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
21,131667910,(S)-Naproxen-d3,[2H]C([2H])([2H])OC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(=O)O
22,71315404,Demethyl Naproxen Acyl-|A-D-glucuronide,COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
23,10092727,"(R,S)-Naproxen acyl-beta-D-glucuronide",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
24,45039727,Desmethyl Naproxen-d3,[2H]C([2H])([2H])OC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O
25,46782450,(S)-Naproxen Iso-acyl-beta-D-glucuronide,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC3C(C(C(OC3C(=O)O)O)O)O
26,165412088,Naproxen betainate sodium,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].C[N+](C)(C)CC(=O)[O-].[Na+]
