Compound_CID,Name,SMILES
124201511,"Parathyroid hormone (3-34) amide, Nle(8,18)-Nle(34)-",CCCC[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC5=CN=CN5)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC6=CC=C(C=C6)O)C(=O)N)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)N
10351092,Angiotensin Amide,CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)N)N
157408,Dynorphin amide (1-10),CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)[C@H](CC3=CC=C(C=C3)O)N
168444512,(E)-N-(2-Aminoethyl)-N-(2-(((5-methoxy-1-(4-(trifluoromethyl)phenyl)pentylidene)amino)oxy)ethyl)nitrous amide,COCCCC/C(=N\OCCN(CCN)N=O)/C1=CC=C(C=C1)C(F)(F)F
140533516,N-[[3-(trifluoromethoxy)phenyl]methyl]nitrous amide,C1=CC(=CC(=C1)OC(F)(F)F)CNN=O
2850046,N-(1-benzylbenzimidazol-2-yl)nitrous amide,C1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2NN=O
170901107,N-Methyl-N-(2-(phenyl(o-tolyl)methoxy)ethyl)nitrous Amide; N-Nitroso N-Demethylorphenadrine; N-Nitroso N-Desmethylorphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)N=O
196853,"Neuropeptide Y (32-36) amide, cys-",C1=CC(=CC=C1C[C@@H](C(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CS)N)O
225504,"N,N-bis(2-hydrazinyl-2-oxoethyl)nitrous amide",C(C(=O)NN)N(CC(=O)NN)N=O
236419,N-Methyl-N-((pyridin-4-yl)methyl)nitrous amide,CN(CC1=CC=NC=C1)N=O
