Compound_CID,Name,SMILES
3672,"Ibuprofen, (+-)-",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
163959,Ibuprofen glucuronide,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
5338317,"Ibuprofen, Sodium Salt",CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[Na+]
9864669,Ibuprofen arginine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C(C[C@@H](C(=O)O)N)CN=C(N)N
3673,Ibuprofen Piconol,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC2=CC=CC=N2
127633,Ibuprofen diethylaminoethyl ester,CCN(CC)CCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
163898,Ibuprofen dimethyl aminoethanol octyl,CCCCCCCC[N+](C)(C)CCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C.[Br-]
24848049,Diphenhydramine Citrate; Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
9841440,Ibuprofen Lysine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C(CCN)C[C@@H](C(=O)O)N
11581230,Acetaminophen; Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O
56841435,Ibuprofen; pseudoephedrine hydrochloride,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.Cl
12225947,rac Ibuprofen-d3,[2H]C([2H])([2H])C(C1=CC=C(C=C1)CC(C)C)C(=O)O
109101,Ibuprofen methyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC
11445193,Hydrocodone Bitartrate; Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
114864,"Ibuprofen, (-)-",C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O
23690315,Ibuprofen Sodium,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].O.O.[Na+]
56841655,Famotidine; Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
9809664,Chlorpheniramine maleate; ibuprofen; pseudoephedrine hydrochloride,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
9890190,Ibuprofen Aluminum,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[OH-].[Al+3]
18943906,Ibuprofen Ibuprofen Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
23726891,Diethylaminoethyl ibuprofen hydrochloride,CCN(CC)CCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C.Cl
9936546,Ibuprofen; Oxycodone Hydrochloride,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
49849735,Ibuprofen-d3 (sodium),[2H]C([2H])([2H])C(C1=CC=C(C=C1)CC(C)C)C(=O)[O-].[Na+]
59014967,(R)-(-)-Ibuprofen-d3,[2H]C([2H])([2H])[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O
45052535,Ibuprofen (sodium),CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.[Na]
49849734,"Ibuprofen-13C,d3",[2H][13C]([2H])([2H])C(C1=CC=C(C=C1)CC(C)C)C(=O)O
59014975,"(+/-)-Ibuprofen-d4 (propionic-2,3,3,3-d4)",[2H]C([2H])([2H])C([2H])(C1=CC=C(C=C1)CC(C)C)C(=O)O
526504,"Ibuprofen, TBDMS",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[Si](C)(C)C(C)(C)C
13175018,Ibuprofen-Polyethylenglycol600,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCO
23662458,Ibuprofen potassium,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[K+]
71749438,Ibuprofen Dimer,CC(C)CC1=CC=C(C=C1)C2(CCC(C3=C2C=C(C=C3)CC(C)C)C(=O)O)C(=O)O
132489054,"Ibuprofen 1,4-Sorbitan Ester",CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@H]([C@@H]2[C@@H]([C@H](CO2)O)O)O
19069476,Ibuprofen.Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
9930909,Ibuprofen meglumine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
92278485,(R)-Ibuprofen glucuronide,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
3326923,Ibuprofen(1-),CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
9863332,Ibuprofen DL-lysine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C(CCN)CC(C(=O)O)N
12791155,Ibuprofen isobutanolammonium,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(C)(CO)N
14500271,Ibuprofen Impurity 36,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CO
