,Compound_CID,Name,SMILES
0,9911821,"Lidocaine, Prilocaine Drug Combination",CCCNC(C)C(=O)NC1=CC=CC=C1C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
1,3676,Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
2,6314,Lidocaine Hydrochloride,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
3,9578160,Chlorhexidine gluconate mixture with lidocaine hydrochloride,CCN(CC(=O)NC1=C(C=CC=C1C)C)CC.C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O.Cl
4,135089,Lidocaine ethiodide,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C.[I-]
5,6454431,Lidocaine iminodiacetic acid,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C(C(=O)O)NCC(=O)O
6,16219577,Lidocaine hydrochloride monohydrate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.O.Cl
7,11720242,Lidocaine; Tetracaine,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
8,45039656,"Lidocaine-d10 (N,N-diethyl-d10)",[2H]C([2H])([2H])C([2H])([2H])N(CC(=O)NC1=C(C=CC=C1C)C)C([2H])([2H])C([2H])([2H])[2H]
9,46782059,Lidocaine-d10 Hydrochloride,[2H]C([2H])([2H])C([2H])([2H])N(CC(=O)NC1=C(C=CC=C1C)C)C([2H])([2H])C([2H])([2H])[2H].Cl
10,53253137,Bupivacaine plus lidocaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
11,171393,Epinephrine mixture with lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.CNC[C@@H](C1=CC(=C(C=C1)O)O)O
12,139025495,Lidocaine-d6 Hydrochloride,[2H]C([2H])([2H])C1=C(C(=CC=C1)C([2H])([2H])[2H])NC(=O)CN(CC)CC.Cl
13,172990278,N-nitroso Nor Lidocaine-d6,[2H]C([2H])([2H])C1=C(C(=CC=C1)C([2H])([2H])[2H])NC(=O)CN(CC)N=O
14,90479623,Lidocaine Carbonate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C(=O)(O)O.C(=O)(O)O
15,11519985,Hydrocortisone and lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
16,71751223,Nor Lidocaine-d5 Hydrochloride,[2H]C([2H])([2H])C([2H])([2H])NCC(=O)NC1=C(C=CC=C1C)C.Cl
17,25050300,Lidocaine bicarbonate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C(=O)(O)O
18,46912271,Lidocaine sulfate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.OS(=O)(=O)O
19,171935210,Lidocaine impurity 31,CCCN1[C@@H](C(=O)N([C@@H]1C(=O)NC2=C(C=CC=C2C)C)C3=CC=CC=C3C)C
20,171935211,Lidocaine impurity 30,CCCN1[C@@H](C(=O)N([C@@H]1C)C2=CC=CC=C2C)C
21,175674375,Lidocaine Nitroso Impurity 58,CCN(C(=O)NC1=C(C=CC=C1C)C)N=O
22,176481236,Lidocaine Nitroso Impurity 53,CC1=C(C(=CC=C1)C)NC(=O)CNN=O
23,11288439,Lidocaine-d10 N-Oxide,[2H]C([2H])([2H])C([2H])([2H])[N+](CC(=O)NC1=C(C=CC=C1C)C)(C([2H])([2H])C([2H])([2H])[2H])[O-]
24,86620570,Lidocaine ethyl caprate,CCCCCCCCCC(=O)OCC.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
25,156612435,[D] Lidocaine,[2H]C1=CC(=C(C(=C1)C)NC(=O)CN(CC)CC)C
26,45359004,Lidocaine-d6,[2H]C([2H])([2H])C1=C(C(=CC=C1)C([2H])([2H])[2H])NC(=O)CN(CC)CC
27,71315598,N-Desethyl 3-Bromo Lidocaine,CCNCC(=O)NC1=C(C=CC(=C1C)Br)C
28,131737460,"lidocaine N,N-dimethylaminobutane",CCCCN(C)C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
29,71749092,3-Hydroxy Lidocaine-d5,[2H]C([2H])([2H])C([2H])([2H])N(CC)CC(=O)NC1=C(C=CC(=C1C)O)C
30,125291535,3-Bromo-N-desethyl-N-benzyl Lidocaine,CCN(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC(=C2C)Br)C
31,166593157,Lidocaine hydrochloride hydrate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.O.O.Cl
32,52563520,Lidocaine Impurity 55,CC1=C(C(=CC=C1)C)NC(=O)COCC(=O)NC2=C(C=CC=C2C)C
33,9795082,Lidocaine N-methyl hydrochloride,CC1=C(C(=CC=C1)C)NC(=O)C[N+](C)(C)C.[Cl-]
34,17401931,Lidocaine Impurity 20,CC1=CC=CC=C1NC(=O)C(C)NC2=CC=CC=C2
35,69717818,3-Bromo Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC(=C1C)Br)C
36,176481235,Lidocaine impurity 63,CC1=C(C(=C(C=C1)NC(=O)CCl)C)NC(=O)CCl
37,176481239,Lidocaine Impurity 73,CC1=C(C(=CC=C1)C)NC(=O)CN(C(C)C)N=O
38,71749091,3-Hydroxy-N-desethyl Lidocaine-d5,[2H]C([2H])([2H])C([2H])([2H])NCC(=O)NC1=C(C=CC(=C1C)O)C
39,163321931,Nor Lidocaine-d6 hydrochloride,[2H]C([2H])([2H])C1=C(C(=CC=C1)C([2H])([2H])[2H])NC(=O)CNCC.Cl
40,85916709,Lidocaine impurity 64,CC1=C(C(=CC=C1)CO)NC(=O)CCl
