Compound_CID,Name,SMILES
171264,Paracetamol-cysteine,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)O)N
12205925,Paracetamol-d4,[2H]C1=C(C(=C(C(=C1NC(=O)C)[2H])[2H])O)[2H]
23676820,paracetamol sulfate potassium salt,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)[O-].[K+]
10176997,Paracetamol phosphate,CC(=O)NC1=CC=C(C=C1)OP(=O)(O)O
6453578,Paracetamol cysteine,CC(=O)NC1=CC=C(C=C1)OC(=O)[C@H](CS)N
10464506,Paracetamol-15N,CC(=O)[15NH]C1=CC=C(C=C1)O
21260365,Paracetamol-ethanol,CC(=O)N(CCO)C1=CC=C(C=C1)O
19905501,paracetamol formIII,CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O
168308148,paracetamol formIII-m,CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O
53939266,2-N-acetylcysteinyl paracetamol,CC(=O)N[C@@H](CS)C(=O)N(C1=CC=C(C=C1)O)C(=O)C
56636999,Paracetamol D3 (methyl D3),[2H]C1=C(C(=CC=C1N([2H])C(=O)C)O)[2H]
56923590,Paracetamol beta-D-glucuronide,[2H]C([2H])([2H])C(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
58930627,Paracetamol Impurity 15,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CO
69967975,Paracetamol-pseudoephedrine,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(=O)NC1=CC=C(C=C1)O
129664752,Thionyl paracetamol,C1=CC(=CC=C1NC(=O)C=S=O)O
163359016,Paracetamol sulfate sodium salt,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)[O-].[Na+]
129651796,Paracetamol sulfonamide,CC(=O)N(C1=CC=C(C=C1)O)S(=O)(=O)N
129717904,[3h]-Paracetamol,CC(=O)NC1=CC=C(CC1)O
129849416,3-Glutathionyl paracetamol,CC(=O)NC1=CC(=C(C=C1)O)N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
