,Compound_CID,Name,SMILES
0,1188,Xanthine,C1=NC2=C(N1)C(=O)NC(=O)N2
1,162797,1-Propyl-3-methyl-7-(5-hydroxyhexyl)xanthine,CCCN1C(=O)C2=C(N=CN2CCCCC(C)O)N(C1=O)C
2,10852325,"1,3-Dimethyl-7-(7-hydroxyoctyl)xanthine",CC(CCCCCCN1C=NC2=C1C(=O)N(C(=O)N2C)C)O
3,130895,"N1,N3-bis(pentafluorobenzyl)-N7-(2-(pentafluorobenzyloxy)ethyl)xanthine",C1=CC(=C(C(=C1C(N2C3=C(C(=O)N(C2=O)C(C4=C(C(=C(C=C4)F)F)F)(F)F)N(C=N3)CCOC(C5=C(C(=C(C=C5)F)F)F)(F)F)(F)F)F)F)F
4,3082963,"1,3-Dipropyl-8-(2-aminoethylaminothiocarbonyl-(4-aminophenyl)(aminothiocarbonyl-(2-aminoethylaminocarbonyl-(4-methoxy(phenyl)))))xanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)NCCNC(=O)SNC4=CC=C(C=C4)NC(=O)SNCCN
5,92411,"1,3-Dipropyl-8-(2-amino-4-chlorophenyl)xanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=C(C=C(C=C3)Cl)N
6,3017468,7-Benzyl-3-(2-methylpropyl)xanthine,CC(C)CN1C2=C(C(=O)NC1=O)N(C=N2)CC3=CC=CC=C3
7,129777854,"1,3-Dimethyl-7-(5-ethylcarboxypentyl)xanthine",CCC(CCCCN1C=NC2=C1C(=O)N(C(=O)N2C)C)C(=O)O
8,131735652,1-[(4-Methylquinazolin-2-yl)methyl]-3-methyl-7-(2-butin-1-yl)-8-(3(R)-4-methylphthalimidopiperidine-yl)-xanthine,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N4C(=O)C5=C(C4=O)C=C(C=C5)C)N(C(=O)N(C2=O)CC6=NC7=CC=CC=C7C(=N6)C)C
9,131674207,Xanthine-13C15N2,C1=NC2=C(N1)C(=O)[15NH][13C](=O)[15NH]2
10,135610069,"2-[5-(1,3-Dipropyl-xanthin-8-yl)-1-methylpyrazol-3-vloxy]acetic acid",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC(=NN3C)OCC(=O)O
11,5697,Xanthine amine congener,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)NCCN
12,136377664,"2-[5-(1,3-Diisobutyl-xanthin-8-yl)-1-methyl-pyrazol-3-yl)oxyacetic acid",CC(C)CN1C2=C(C(=O)N(C1=O)CC(C)C)NC(=N2)C3=CC(=NN3C)OCC(=O)O
13,46946658,"7-[2-[4-(2-chlorophenyl)piperazinyl]ethyl]-1,3-dimethyl-xanthine HCl",CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCN3CCN(CC3)C4=CC=CC=C4Cl.Cl
14,16078995,1-Propyl-8-(4-sulfophenyl)xanthine Potassium Salt,CCCN1C(=O)C2=C(NC1=O)N=C(N2)C3=CC=C(C=C3)S(=O)(=O)[O-].[K+]
15,16220115,Xanthine sodium salt,C1=NC2=C(N1)C(=O)NC(=O)N2.[Na]
16,10221927,"1,3-Di-cyclohexylmethyl-8-nitro xanthine",C1CCC(CC1)CN2C3=C(C(=O)N(C2=O)CC4CCCCC4)NC(=N3)[N+](=O)[O-]
17,14403145,"Xanthine, monosodium salt",C1=NC2=C([N-]1)C(=O)NC(=O)N2.[Na+]
18,137313642,"Xanthine monosodium salt, monohydrate",C1=NC2=NC(=O)NC(=C2N1)[O-].O.[Na+]
19,96609,8-(Ethylthio)-xanthine,CCSC1=NC2=C(N1)C(=O)NC(=O)N2
20,71356,Cipamfylline,C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)N
